"Name","Power_Ranking","Annual_Pay"
"Tom Cruise",1,67
"Rolling Stones",2,90
"Oprah Winfrey",3,225
"U2",4,110
"Tiger Woods",5,90
"Steven Spielberg",6,332
"Howard Stern",7,302
"50 Cent",8,41
"Cast of the Sopranos",9,52
"Dan Brown",10,88
"Bruce Springsteen",11,55
"Donald Trump",12,44
"Muhammad Ali",13,55
"Paul McCartney",14,40
"George Lucas",15,233
"Elton John",16,34
"David Letterman",17,40
"Phil Mickelson",18,47
"J.K Rowling",19,75
"Bradd Pitt",20,25
"Peter Jackson",21,39
"Dr. Phil McGraw",22,45
"Jay Lenon",23,32
"Celine Dion",24,40
"Kobe Bryant",25,31
